Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
LMap_Varisco_A1AT_3911_P_Bane_06Apr21_20-11-16	A1AT_3911	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9185	54945	0	62051	47839	0	14212	27511	26587	0	924	44.34	55.58	NaN	6.5	21003	1305145	51762	3.97	1686	3.26	162476	43787	43265	26.95	31.22	3246	7.41	+	0.67315	0.95469	0.47374	0.71435	
LMap_Varisco_A1AT_3933_P_Bane_06Apr21_20-11-16	A1AT_3933	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9347	53481	0	60277	46683	0	13594	25891	25015	0	876	42.95	53.58	NaN	6.44	20516	1221602	50131	4.1	1854	3.7	153164	42405	41974	27.69	32.31	3374	7.96	+	0.67013	0.95967	0.45131	0.68293	
LMap_Varisco_A1AT_3934_P_Bane_06Apr21_20-11-16	A1AT_3934	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9406	53030	0	59811	46249	0	13562	24903	24111	0	792	41.64	52.13	NaN	5.84	19761	1245074	49671	3.99	1803	3.63	156094	42040	41683	26.93	31.92	3299	7.85	+	0.64817	0.91936	0.42626	0.63763	
LMap_Varisco_A1AT_3936_P_Bane_06Apr21_20-11-16	A1AT_3936	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9498	52595	0	60196	44992	0	15204	23073	22280	0	793	38.33	49.52	NaN	5.22	18518	1214336	49070	4.04	1770	3.61	151372	40898	40495	27.02	32.21	3249	7.94	+	0.65038	0.92586	0.42367	0.63624	
LMap_Varisco_A1AT_3937_P_Bane_06Apr21_20-11-16	A1AT_3937	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9412	52819	0	59277	46361	0	12916	21622	20992	0	630	36.48	45.28	NaN	4.88	17364	1230100	49454	4.02	1829	3.7	154705	42045	41661	27.18	32.17	3376	8.03	+	0.63522	0.91108	0.39604	0.59246	
LMap_Varisco_Cela1_3912_P_Bane_06Apr21_20-11-16	Cela1_3912	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9249	54087	0	60846	47326	0	13520	26523	25721	0	802	43.59	54.35	NaN	5.93	20822	1239838	50906	4.11	1722	3.38	156423	43269	42802	27.66	32.06	3248	7.51	+	0.66962	0.95286	0.46142	0.69701	
LMap_Varisco_Cela1_3914_P_Bane_06Apr21_20-11-16	Cela1_3914	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9460	52565	0	60155	44975	0	15180	24179	23364	0	815	40.19	51.95	NaN	5.37	19336	1292984	49566	3.83	1562	3.15	155064	41316	40904	26.64	31.16	3038	7.35	+	0.6734	0.95042	0.45515	0.68247	
LMap_Varisco_Cela1_3915_P_Bane_06Apr21_20-11-16	Cela1_3915	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9481	52487	0	59805	45169	0	14636	23469	22664	0	805	39.24	50.18	NaN	5.5	18545	1240029	48992	3.95	1836	3.75	151843	40951	40566	26.97	31.92	3337	8.15	+	0.662	0.94204	0.43349	0.65097	
LMap_Varisco_Cela1_3953_P_Bane_06Apr21_20-11-16	Cela1_3953	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9425	52827	0	60155	45497	0	14658	23615	22831	0	784	39.26	50.18	NaN	5.35	18702	1228571	49313	4.01	1792	3.63	151778	41210	40839	27.15	32.06	3389	8.22	+	0.64553	0.92186	0.42061	0.63612	
LMap_Varisco_Cela1_3955_P_Bane_06Apr21_20-11-16	Cela1_3955	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		9421	52859	0	59748	45970	0	13778	22957	22252	0	705	38.42	48.41	NaN	5.12	18551	1234446	49640	4.02	1707	3.44	154433	41945	41532	27.16	31.93	3226	7.69	+	0.64375	0.91951	0.41354	0.6256	
