"enriched_in"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"Cluster_1"	"GO_CC"	"5615"	"extracellular space "	9	33	301	3024	24.2424242424242	9.9537037037037	0.0144702152748964	0.828040528104757	2.43551797040169	"P01868;P08228;P10107;P12265;P49935;Q61207;P50405;Q07797;Q9D1H9"
"Cluster_1"	"GO_CC"	"5739"	"mitochondrion "	13	33	588	3024	36.3636363636364	19.4444444444444	0.0246842526986263	0.828040528104757	1.87012987012987	"O88587;O88844;P08074;P08228;Q3UYV9;Q61207;Q8JZR0;Q9CWJ9;Q9CWS0;Q9D6Y7;Q9CQN6;Q9QXB9;Q9CQE1"
"Cluster_1"	"GO_CC"	"5764"	"lysosome "	5	33	105	3024	12.1212121212121	3.47222222222222	0.0282286543672076	0.828040528104757	3.49090909090909	"P08228;P12265;P49935;Q61207;P50405"
"Cluster_1"	"GO_BP"	"2191"	"cap-dependent translational initiation "	2	33	2	3024	3.03030303030303	0.0661375661375661	0.0320467311684754	1	45.8181818181818	"O70194;Q3UYV9"
"Cluster_1"	"GO_BP"	"79"	"regulation of cyclin-dependent protein serine/threonine kinase activity "	2	33	2	3024	3.03030303030303	0.0661375661375661	0.0320467311684754	1	45.8181818181818	"O70456;Q99LM2"
"Cluster_1"	"GO_BP"	"6749"	"glutathione metabolic process "	3	33	29	3024	6.06060606060606	0.958994708994709	0.0432442720589059	1	6.31974921630094	"O88844;P08228;Q9CPU0"
"Cluster_1"	"GO_BP"	"6665"	"sphingolipid metabolic process "	2	33	5	3024	3.03030303030303	0.165343915343915	0.0630966199414194	1	18.3272727272727	"Q61207;P50405"
"Cluster_1"	"GO_CC"	"1527"	"microfibril "	2	33	5	3024	3.03030303030303	0.165343915343915	0.0630966199414194	1	18.3272727272727	"P55002;Q9D1H9"
"Cluster_1"	"GO_CC"	"5576"	"extracellular region "	5	33	147	3024	12.1212121212121	4.86111111111111	0.0769753526965373	1	2.49350649350649	"O70456;P08228;P55002;Q61207;Q9D1H9"
"Cluster_1"	"GO_CC"	"97208"	"alveolar lamellar body "	2	33	8	3024	3.03030303030303	0.264550264550265	0.093179734307604	1	11.4545454545455	"P49935;P50405"
"Cluster_1"	"KEGG_pathway"	"path:mmu04146"	"Peroxisome - Mus musculus (house mouse)"	3	33	26	3024	6.06060606060606	0.85978835978836	0.0358640697077602	1	7.04895104895105	"O88844;P08228;Q8JZR0"
"Cluster_1"	"KEGG_pathway"	"path:mmu04142"	"Lysosome - Mus musculus (house mouse)"	3	33	45	3024	6.06060606060606	1.48809523809524	0.0904160098067652	1	4.07272727272727	"P12265;P49935;Q61207"
"Cluster_2"	"GO_MF"	"30527"	"structural constituent of chromatin "	4	45	17	3024	6.66666666666667	0.562169312169312	0.00282162578084466	0.282162578084466	11.8588235294118	"P68433;P84244;Q3TEA8;Q8CGP5"
"Cluster_2"	"GO_BP"	"1900004"	"negative regulation of serine-type endopeptidase activity "	3	45	4	3024	4.44444444444444	0.132275132275132	0.00303818238199732	0.485096453658905	33.6	"P07758;P22599;Q00897"
"Cluster_2"	"GO_BP"	"46687"	"response to chromate "	3	45	4	3024	4.44444444444444	0.132275132275132	0.00303818238199732	0.485096453658905	33.6	"P07758;P22599;Q00897"
"Cluster_2"	"GO_BP"	"33986"	"response to methanol "	3	45	4	3024	4.44444444444444	0.132275132275132	0.00303818238199732	0.485096453658905	33.6	"P07758;P22599;Q00897"
"Cluster_2"	"GO_CC"	"786"	"nucleosome "	4	45	20	3024	6.66666666666667	0.661375661375661	0.0042507755849165	0.709879522681056	10.08	"P68433;P84244;Q3TEA8;Q8CGP5"
"Cluster_2"	"GO_BP"	"10288"	"response to lead ion "	3	45	12	3024	4.44444444444444	0.396825396825397	0.0171068583294822	1	11.2	"P07758;P22599;Q00897"
"Cluster_2"	"GO_MF"	"46982"	"protein heterodimerization activity "	5	45	77	3024	8.88888888888889	2.5462962962963	0.0295499913213828	0.91723207463157	3.49090909090909	"P68433;P84244;Q61584;Q8CGP5;Q9QYC0"
"Cluster_2"	"GO_BP"	"51017"	"actin filament bundle assembly "	3	45	18	3024	4.44444444444444	0.595238095238095	0.0337873675642294	1	7.46666666666667	"P26645;Q9QYC0;Q9WV69"
"Cluster_2"	"GO_MF"	"4866"	"endopeptidase inhibitor activity "	3	45	18	3024	4.44444444444444	0.595238095238095	0.0337873675642294	0.91723207463157	7.46666666666667	"P07758;P22599;Q00897"
"Cluster_2"	"GO_BP"	"1903531"	"negative regulation of secretion by cell "	2	45	2	3024	2.22222222222222	0.0661375661375661	0.0433603563100921	1	33.6	"O70404;P63024"
"Cluster_2"	"GO_BP"	"8286"	"insulin receptor signaling pathway "	3	45	21	3024	4.44444444444444	0.694444444444444	0.0437634974899921	1	6.4	"Q62417;Q9JK42;Q91W39"
"Cluster_2"	"GO_BP"	"34446"	"substrate adhesion-dependent cell spreading "	3	45	22	3024	4.44444444444444	0.727513227513227	0.0473048543777419	1	6.10909090909091	"A2ARA8;O55222;P63024"
"Cluster_2"	"GO_CC"	"5886"	"plasma membrane "	18	45	746	3024	37.7777777777778	24.6693121693122	0.0546722811302024	1	1.5313672922252	"A2ARA8;O55222;O70404;P22366;P26645;P52800;P63024;Q62417;Q6A0D4;Q9EPT5;Q9JLQ0;Q9QXD8;Q9QYC0;Q9WTQ5;Q9WTY4;Q9WUP0;Q9WV69;Q80XC3"
"Cluster_2"	"GO_BP"	"32740"	"positive regulation of interleukin-17 production "	2	45	3	3024	2.22222222222222	0.0992063492063492	0.0574010555814705	1	22.4	"P22366;Q6A0D4"
"Cluster_2"	"GO_CC"	"5912"	"adherens junction "	4	45	59	3024	6.66666666666667	1.9510582010582	0.0611446914359032	1	3.41694915254237	"P52800;Q62417;Q9QXD8;Q9QYC0"
"Cluster_2"	"GO_BP"	"10951"	"negative regulation of endopeptidase activity "	3	45	26	3024	4.44444444444444	0.85978835978836	0.0624525757865666	1	5.16923076923077	"P07758;P22599;Q00897"
"Cluster_2"	"GO_BP"	"34097"	"response to cytokine "	3	45	27	3024	4.44444444444444	0.892857142857143	0.0664676760638586	1	4.97777777777778	"P07758;P22599;Q00897"
"Cluster_2"	"GO_BP"	"43434"	"response to peptide hormone "	3	45	27	3024	4.44444444444444	0.892857142857143	0.0664676760638586	1	4.97777777777778	"P07758;P22599;Q00897"
"Cluster_2"	"GO_BP"	"1900426"	"positive regulation of defense response to bacterium "	2	45	4	3024	2.22222222222222	0.132275132275132	0.0712401917964244	1	16.8	"A6H6E2;Q99K41"
"Cluster_2"	"GO_BP"	"71476"	"cellular hypotonic response "	2	45	4	3024	2.22222222222222	0.132275132275132	0.0712401917964244	1	16.8	"P50637;Q9WTY4"
"Cluster_2"	"GO_BP"	"1901731"	"positive regulation of platelet aggregation "	2	45	4	3024	2.22222222222222	0.132275132275132	0.0712401917964244	1	16.8	"Q99K41;Q9WV69"
"Cluster_2"	"GO_CC"	"32991"	"protein-containing complex "	9	45	293	3024	17.7777777777778	9.68915343915344	0.0769829730715866	1	1.83481228668942	"O55222;P22366;P54822;P63087;P68433;P84244;Q6A0D4;Q9CPP6;Q9JLQ0"
"Cluster_2"	"GO_MF"	"4867"	"serine-type endopeptidase inhibitor activity "	3	45	30	3024	4.44444444444444	0.992063492063492	0.079007640227739	1	4.48	"P07758;P22599;Q00897"
"Cluster_2"	"GO_BP"	"42127"	"regulation of cell population proliferation "	3	45	31	3024	4.44444444444444	1.02513227513228	0.0833420370852624	1	4.33548387096774	"P22366;Q3TEA8;Q99K41"
"Cluster_2"	"GO_CC"	"43197"	"dendritic spine "	4	45	68	3024	6.66666666666667	2.24867724867725	0.0844546835167122	1	2.96470588235294	"P26645;P63087;Q61584;Q9QYC0"
