"Uniprot_Accession","Uniprot_ID","REACTOME_ID","REACTOME_description"
"Q00560","IL6RB_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"P22272","IL6RA_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"P42227","STAT3_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"P35235","PTN11_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"P42225","STAT1_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"P08505","IL6_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"Q9R117","TYK2_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"P52332","JAK1_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"P22682","CBL_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"Q62120","JAK2_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"O35718","SOCS3_MOUSE","R-MMU-1059683","Interleukin-6 signaling"
"Q9ESL9","FGF20_MOUSE","R-MMU-109704","PI3K Cascade"
"P54130","FGF9_MOUSE","R-MMU-109704","PI3K Cascade"
"O35082","KLOT_MOUSE","R-MMU-109704","PI3K Cascade"
"Q8VD65","PI3R4_MOUSE","R-MMU-109704","PI3K Cascade"
"Q6PF93","PK3C3_MOUSE","R-MMU-109704","PI3K Cascade"
"P37237","FGF8_MOUSE","R-MMU-109704","PI3K Cascade"
"Q9ESS2","FGF22_MOUSE","R-MMU-109704","PI3K Cascade"
"P15656","FGF5_MOUSE","R-MMU-109704","PI3K Cascade"
"P36363","FGF7_MOUSE","R-MMU-109704","PI3K Cascade"
"Q60631","GRB2_MOUSE","R-MMU-109704","PI3K Cascade"
"Q9Z1S8","GAB2_MOUSE","R-MMU-109704","PI3K Cascade"
"Q00342","FLT3_MOUSE","R-MMU-109704","PI3K Cascade"
"O08908","P85B_MOUSE","R-MMU-109704","PI3K Cascade"
"Q9EQU3","TLR9_MOUSE","R-MMU-109704","PI3K Cascade"
"O35565","FGF10_MOUSE","R-MMU-109704","PI3K Cascade"
"P26450","P85A_MOUSE","R-MMU-109704","PI3K Cascade"
"P15655","FGF2_MOUSE","R-MMU-109704","PI3K Cascade"
"P35235","PTN11_MOUSE","R-MMU-109704","PI3K Cascade"
"Q8C180","FRS2_MOUSE","R-MMU-109704","PI3K Cascade"
"O35622","FGF15_MOUSE","R-MMU-109704","PI3K Cascade"
"Q99N32","KLOTB_MOUSE","R-MMU-109704","PI3K Cascade"
"P21803","FGFR2_MOUSE","R-MMU-109704","PI3K Cascade"
"Q9QYY0","GAB1_MOUSE","R-MMU-109704","PI3K Cascade"
"P49772","FLT3L_MOUSE","R-MMU-109704","PI3K Cascade"
"Q03142","FGFR4_MOUSE","R-MMU-109704","PI3K Cascade"
"P21658","FGF6_MOUSE","R-MMU-109704","PI3K Cascade"
"P05524","FGF3_MOUSE","R-MMU-109704","PI3K Cascade"
"P42337","PK3CA_MOUSE","R-MMU-109704","PI3K Cascade"
"P35569","IRS1_MOUSE","R-MMU-109704","PI3K Cascade"
"O89101","FGF18_MOUSE","R-MMU-109704","PI3K Cascade"
"Q9EPC2","FGF23_MOUSE","R-MMU-109704","PI3K Cascade"
"P16092","FGFR1_MOUSE","R-MMU-109704","PI3K Cascade"
"P81122","IRS2_MOUSE","R-MMU-109704","PI3K Cascade"
"Q61851","FGFR3_MOUSE","R-MMU-109704","PI3K Cascade"
"P11403","FGF4_MOUSE","R-MMU-109704","PI3K Cascade"
"Q9ESL8","FGF16_MOUSE","R-MMU-109704","PI3K Cascade"
"P63075","FGF17_MOUSE","R-MMU-109704","PI3K Cascade"
"Q8BTI9","PK3CB_MOUSE","R-MMU-109704","PI3K Cascade"
"P61148","FGF1_MOUSE","R-MMU-109704","PI3K Cascade"
"P31938","MP2K1_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"P08505","IL6_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"Q63844","MK03_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"P22272","IL6RA_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"Q00560","IL6RB_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"P11440","CDK1_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"P52332","JAK1_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"P35235","PTN11_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"Q62120","JAK2_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"Q9R117","TYK2_MOUSE","R-MMU-110056","MAPK3 (ERK1) activation"
"P62984","RL40_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
"Q8R323","RFC3_MOUSE","R-MMU-110312","Translesion synthesis by REV1"
