"","Uniprot_accession","Uniprot_name","description","OrganismName","OrganismIdentifier","GeneName","ProteinExistence","SequenceVersion"
"1","A0A088MLT8","IQIP1_MOUSE","IQCJ-SCHIP1 readthrough transcript protein","Mus musculus","10090","Iqcj-Schip1","1","2"
"2","A0A0A6YY25","BTBDI_MOUSE","BTB/POZ domain-containing protein 18","Mus musculus","10090","Btbd18","1","1"
"3","A0A0B4J1F4","ARRD4_MOUSE","Arrestin domain-containing protein 4","Mus musculus","10090","Arrdc4","1","1"
"4","A0A0B4J1G0","FCG3A_MOUSE","Low affinity immunoglobulin gamma Fc region receptor III-A","Mus musculus","10090","Fcgr4","1","1"
"5","A0A0B4J1N3","GP15L_MOUSE","Protein GPR15LG","Mus musculus","10090","Gpr15lg","2","1"
"6","A0A0G2JDV3","GBP6_MOUSE","Guanylate-binding protein 6","Mus musculus","10090","Gbp6","2","2"
"7","A0A0U1RPR8","GUC2D_MOUSE","Guanylate cyclase D","Mus musculus","10090","Gucy2d","2","1"
"8","A0A140LI88","ANR31_MOUSE","Ankyrin repeat domain-containing protein 31","Mus musculus","10090","Ankrd31","1","2"
"9","A0A1D9BZF0","GCNA_MOUSE","Germ cell nuclear acidic protein","Mus musculus","10090","Gcna","1","1"
"10","A0A1W2P872","NOVA2_MOUSE","RNA-binding protein Nova-2","Mus musculus","10090","Nova2","1","1"
"11","A0A2R8VHR8","DT3UO_MOUSE","DDIT3 upstream open reading frame protein","Mus musculus","10090","Ddit3","2","1"
"12","A0A5F8MPU3","CTSRT_MOUSE","Cation channel sperm-associated targeting subunit tau","Mus musculus","10090","C2cd6","1","1"
"13","A0A5K7RLP0","MEIOS_MOUSE","Meiosis initiator protein","Mus musculus","10090","Meiosin","1","1"
"14","A0JNT9","BICL1_MOUSE","BICD family-like cargo adapter 1","Mus musculus","10090","Bicdl1","1","1"
"15","A0JNU3","LPP60_MOUSE","60 kDa lysophospholipase","Mus musculus","10090","Aspg","1","1"
"16","A1A546","ISX_MOUSE","Intestine-specific homeobox","Mus musculus","10090","Isx","2","2"
"17","A1A547","PGRP3_MOUSE","Peptidoglycan recognition protein 3","Mus musculus","10090","Pglyrp3","2","2"
"18","A1E960","ODAM_MOUSE","Odontogenic ameloblast-associated protein","Mus musculus","10090","Odam","2","1"
"19","A1L314","MPEG1_MOUSE","Macrophage-expressed gene 1 protein","Mus musculus","10090","Mpeg1","1","1"
"20","A1Y9I9","TOMT_MOUSE","Transmembrane O-methyltransferase homolog","Mus musculus","10090","Tomt","1","1"
"21","A1Z198","NL1B2_MOUSE","NACHT, LRR and PYD domains-containing protein 1b allele 2","Mus musculus","10090","Nlrp1b","1","1"
"22","A2A259","PK2L1_MOUSE","Polycystic kidney disease 2-like 1 protein","Mus musculus","10090","Pkd2l1","1","1"
"23","A2A432","CUL4B_MOUSE","Cullin-4B","Mus musculus","10090","Cul4b","1","1"
"24","A2A5K6","ZN335_MOUSE","Zinc finger protein 335","Mus musculus","10090","Znf335","1","1"
"25","A2A5N8","LMBL1_MOUSE","Lethal(3)malignant brain tumor-like protein 1","Mus musculus","10090","L3mbtl1","2","1"
"26","A2A5R2","BIG2_MOUSE","Brefeldin A-inhibited guanine nucleotide-exchange protein 2","Mus musculus","10090","Arfgef2","1","1"
"27","A2A5Z6","SMUF2_MOUSE","E3 ubiquitin-protein ligase SMURF2","Mus musculus","10090","Smurf2","1","1"
"28","A2A6C4","SPP2C_MOUSE","Signal peptide peptidase-like 2C","Mus musculus","10090","Sppl2c","1","1"
"29","A2A6M5","CACO2_MOUSE","Calcium-binding and coiled-coil domain-containing protein 2","Mus musculus","10090","Calcoco2","2","1"
"30","A2A6Q5","CDC27_MOUSE","Cell division cycle protein 27 homolog","Mus musculus","10090","Cdc27","1","1"
"31","A2A7Q9","RN19B_MOUSE","E3 ubiquitin-protein ligase RNF19B","Mus musculus","10090","Rnf19b","1","2"
"32","A2A825","CPLN2_MOUSE","Ciliogenesis and planar polarity effector 2","Mus musculus","10090","Cplane2","1","1"
"33","A2A863","ITB4_MOUSE","Integrin beta-4","Mus musculus","10090","Itgb4","1","1"
"34","A2A884","ZEP3_MOUSE","Transcription factor HIVEP3","Mus musculus","10090","Hivep3","1","1"
"35","A2A891","CMTA1_MOUSE","Calmodulin-binding transcription activator 1","Mus musculus","10090","Camta1","2","1"
"36","A2A8L1","CHD5_MOUSE","Chromodomain-helicase-DNA-binding protein 5","Mus musculus","10090","Chd5","1","1"
"37","A2A8L5","PTPRF_MOUSE","Receptor-type tyrosine-protein phosphatase F","Mus musculus","10090","Ptprf","1","1"
"38","A2A8U2","TM201_MOUSE","Transmembrane protein 201","Mus musculus","10090","Tmem201","1","1"
"39","A2A935","PRD16_MOUSE","Histone-lysine N-methyltransferase PRDM16","Mus musculus","10090","Prdm16","1","1"
